INFO  - 2014-04-29 12:38:53.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2014-04-29 12:38:53.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-04-29 12:38:53.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-04-29 12:38:53.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-04-29 12:38:53.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/dist/solr-clustering-4.6-SNAPSHOT.jar' to classloader
INFO  - 2014-04-29 12:38:53.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-04-29 12:38:53.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-04-29 12:38:53.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/dist/solr-langid-4.6-SNAPSHOT.jar' to classloader
INFO  - 2014-04-29 12:38:53.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-04-29 12:38:53.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-04-29 12:38:53.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-04-29 12:38:53.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-04-29 12:38:53.865; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/dist/solr-velocity-4.6-SNAPSHOT.jar' to classloader
INFO  - 2014-04-29 12:38:53.998; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-04-29 12:38:54.003; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-04-29 12:38:54.114; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-04-29 12:38:54.120; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-04-29 12:38:54.191; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-04-29 12:38:54.759; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-04-29 12:38:54.832; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-29 12:38:54.839; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-04-29 12:38:54.968; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-04-29 12:38:54.975; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\, dataDir=C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\
INFO  - 2014-04-29 12:38:54.976; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-04-29 12:38:54.980; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-04-29 12:38:54.980; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-04-29 12:38:54.993; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data
INFO  - 2014-04-29 12:38:54.994; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\index/
WARN  - 2014-04-29 12:38:54.994; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2014-04-29 12:38:55.001; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\index
INFO  - 2014-04-29 12:38:55.177; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@79b0d33c; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-04-29 12:38:55.178; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-04-29 12:38:55.182; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-04-29 12:38:55.182; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-04-29 12:38:55.183; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-04-29 12:38:55.186; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-04-29 12:38:55.186; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-04-29 12:38:55.272; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-04-29 12:38:55.281; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.281; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.283; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-04-29 12:38:55.283; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-04-29 12:38:55.286; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2014-04-29 12:38:55.298; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-04-29 12:38:55.298; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2014-04-29 12:38:55.300; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-04-29 12:38:55.300; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-04-29 12:38:55.300; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-29 12:38:55.301; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-04-29 12:38:55.301; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-29 12:38:55.301; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-04-29 12:38:55.301; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-29 12:38:55.302; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-04-29 12:38:55.304; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-04-29 12:38:55.306; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-04-29 12:38:55.308; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
